time_s,thrust_lbf,thrust_n
0.000,0.000,0.000000
0.150,3200.000,14234.309169
0.400,3500.000,15568.775653
1.000,3400.000,15123.953492
2.000,3200.000,14234.309169
4.000,2900.000,12899.842684
5.000,2700.000,12010.198361
6.000,2600.000,11565.376200
8.000,2750.000,12232.609442
10.000,2950.000,13122.253765
12.000,3150.000,14011.898088
13.000,3250.000,14456.720250
14.000,3300.000,14679.131330
15.000,3300.000,14679.131330
16.000,3260.000,14501.202466
17.000,3200.000,14234.309169
18.000,3160.000,14056.380304
19.000,3100.000,13789.487007
19.500,3000.000,13344.664846
19.900,2800.000,12455.020523
20.100,600.000,2668.932969
20.300,0.000,0.000000
