time_s,thrust_n
0,0
0.007,1574.37
0.012,1038.18
0.017,1476.1
0.024,1083.04
0.029,1365.02
0.034,1117.22
0.041,1266.76
0.046,1162.08
0.049,1226.17
0.069,1159.95
0.107,1130.04
0.151,1108.68
0.21,1100.13
0.274,1102.27
0.332,1102.27
0.432,1115.09
0.523,1119.36
0.611,1132.18
0.674,1140.72
0.766,1149.27
0.881,1159.95
0.979,1179.17
1.141,1191.99
1.257,1189.85
1.379,1191.99
1.504,1202.67
1.599,1211.21
1.67,1232.58
1.744,1249.67
1.772,1226.17
1.802,1155.67
1.841,993.324
1.888,736.983
1.944,455.007
2.002,267.023
2.065,128.171
2.11,68.358
2.149,34.179
2.198,0
